SPECIES,nesting_suitability_cavity_index,nesting_suitability_ground_index,foraging_activity_spring_index,foraging_activity_summer_index,foraging_activity_fall_index,alpha
Andrena.bicolor,0,1,0.5,0.5,1,369.31
Andrena.carantonica,0,1,1,0,0,478.69
Andrena.cineraria,0,1,1,0,0,588.07
Andrena.flavipes,0,1,0.5,0.43,0.07,478.69
Andrena.haemorrhoa,0,1,0.86,0.14,0,369.31
Andrena.humilis,0,1,0.5,0.5,0,424
Andrena.minutula,0,1,0.5,0.5,0,150.55
Andrena.nitida,0,1,0.83,0.17,0,642.76
Andrena.ovatula,0,1,0.33,0.58,0.09,314.62
Bombus.hortorum,0.25,0.75,0.47,0.53,0,642.76
Bombus.hypnorum,0.75,0.25,0.44,0.56,0,752.14
Bombus.lapidarius,0.25,0.75,0.44,0.56,0,642.76
Bombus.pascuorum,0.25,0.75,0.47,0.53,0,588.07
Bombus.pratorum,0.75,0.25,0.47,0.53,0,533.38
Bombus.sylvarum,0.2,0.8,0.4,0.6,0,588.07
Bombus.terrestris,0,1,0.47,0.53,0,697.45
Eucera.nigrescens,0,1,0.6,0.4,0,588.07
Halictus.rubicundus,0,1,0.33,0.5,0.17,424
Halictus.simplex,0,1,0.29,0.43,0.28,369.31
Lasioglossum.laticeps,0,1,0.375,0.375,0.25,150.55
Osmia.cornuta,0.7,0.3,1,0,0,588.07
